0,595,1.5043,0.034246,0.077717,328.37,2288.5,2189133.333,15256666.67
0,595,1.5223,0.034246,0.69536,246.77,2078,1645133.333,13853333.33
0,596,1.5037,0.034242,0.057456,330.2,2280.8,2201333.333,15205333.33
0,596,1.5212,0.034242,0.71851,243.01,2057.1,1620066.667,13714000
0,597,1.5201,0.034237,0.74165,239.14,2043.7,1594266.667,13624666.67
5,595,1.5044,0.034246,0.0709,329.49,2292.9,2196600,15286000
5,595,1.5231,0.034246,0.70208,246.31,2079.8,1642066.667,13865333.33
5,596,1.5038,0.034241,0.051616,331.44,2277.9,2209600,15186000
5,596,1.5221,0.034241,0.72431,242.66,2061.8,1617733.333,13745333.33
5,597,1.521,0.034237,0.74517,238.58,2050,1590533.333,13666666.67
10,595,1.5046,0.034247,0.055313,332.08,2297.8,2213866.667,15318666.67
10,595,1.5257,0.034247,0.71729,244.41,2070.6,1629400,13804000
10,596,1.5247,0.034242,0.73496,241.3,2049.3,1608666.667,13662000
10,597,1.5236,0.034237,0.75189,238.91,2043.6,1592733.333,13624000
15,595,1.5299,0.034246,0.73269,243.05,2066.2,1620333.333,13774666.67
15,596,1.5289,0.034241,0.74629,241.32,2063.2,1608800,13754666.67
15,597,1.5281,0.034237,0.75976,237.51,2034.8,1583400,13565333.33
20,595,1.5358,0.034246,0.74466,241.93,2067,1612866.667,13780000
20,596,1.535,0.034241,0.75302,237.25,2031.1,1581666.667,13540666.67
20,597,1.5342,0.034237,0.76447,237.24,2032.6,1581600,13550666.67
25,595,1.5435,0.034246,0.7522,240.57,2057.5,1603800,13716666.67
25,596,1.5427,0.034241,0.75975,239.19,2052.1,1594600,13680666.67
25,597,1.5419,0.034237,0.7674,236.53,2041.9,1576866.667,13612666.67
30,595,1.5526,0.034246,0.75619,240.42,2063.2,1602800,13754666.67
30,596,1.5518,0.034241,0.76216,238.97,2050.1,1593133.333,13667333.33
30,597,1.551,0.034237,0.76788,237.62,2049.4,1584133.333,13662666.67
35,595,1.563,0.034246,0.75743,240.49,2057.7,1603266.667,13718000
35,596,1.5624,0.034241,0.76297,238.18,2054.2,1587866.667,13694666.67
35,597,1.5617,0.034237,0.76784,236.39,2047.2,1575933.333,13648000
40,595,1.5747,0.034246,0.75791,239.47,2055.7,1596466.667,13704666.67
40,596,1.574,0.034241,0.7621,238.45,2058.8,1589666.667,13725333.33
40,597,1.5732,0.034237,0.76636,237.24,2048,1581600,13653333.33
45,595,1.5873,0.034246,0.75675,240.06,2046.5,1600400,13643333.33
45,596,1.5867,0.034241,0.7609,238.58,2045.5,1590533.333,13636666.67
45,597,1.5859,0.034237,0.76463,237.85,2034.5,1585666.667,13563333.33
50,595,1.6009,0.034246,0.75534,239.93,2049.7,1599533.333,13664666.67
50,596,1.6002,0.034241,0.75898,238.75,2042,1591666.667,13613333.33
50,597,1.5995,0.034237,0.76265,237.61,2040.9,1584066.667,13606000
55,595,1.6152,0.034246,0.75346,239.68,2048.7,1597866.667,13658000
55,596,1.6145,0.034241,0.75678,239.28,2044,1595200,13626666.67
55,597,1.6138,0.034237,0.76047,237.54,2036.3,1583600,13575333.33
60,595,1.6299,0.034246,0.75096,240.67,2053.8,1604466.667,13692000
60,596,1.6294,0.034241,0.75465,238.33,2049.9,1588866.667,13666000
60,597,1.6286,0.034237,0.75785,237.79,2041.3,1585266.667,13608666.67
65,595,1.6453,0.034246,0.7488,239.66,2050,1597733.333,13666666.67
65,596,1.6446,0.034241,0.75207,238.56,2039.4,1590400,13596000
65,597,1.6439,0.034237,0.75534,237.75,2034,1585000,13560000
70,595,1.6607,0.034246,0.74609,239.76,2046.3,1598400,13642000
70,596,1.6601,0.034241,0.74944,238.57,2038.6,1590466.667,13590666.67
70,597,1.6595,0.034237,0.75289,236.73,2030.1,1578200,13534000
75,595,1.6763,0.034246,0.74342,239.78,2042,1598533.333,13613333.33
75,596,1.6758,0.034241,0.74679,238.05,2033.9,1587000,13559333.33
75,597,1.6751,0.034237,0.75028,236.93,2030,1579533.333,13533333.33
80,595,1.6919,0.034246,0.74061,240.17,2042.3,1601133.333,13615333.33
80,596,1.6913,0.034241,0.74388,239.07,2036.6,1593800,13577333.33
80,597,1.6908,0.034237,0.74772,236.33,2030.1,1575533.333,13534000
85,595,1.7073,0.034246,0.73796,240.54,2034.5,1603600,13563333.33
85,596,1.7067,0.034241,0.74124,239.31,2034.3,1595400,13562000
85,597,1.7061,0.034237,0.74485,237.25,2019.1,1581666.667,13460666.67
90,595,1.7225,0.034246,0.73549,239.92,2035.8,1599466.667,13572000
90,596,1.7219,0.034242,0.73881,238.38,2026.4,1589200,13509333.33
90,597,1.7212,0.034237,0.74219,237.68,2024,1584533.333,13493333.33
95,595,1.737,0.034246,0.73213,242.52,2031.1,1616800,13540666.67
95,596,1.7364,0.034241,0.73542,241.94,2026.1,1612933.333,13507333.33
95,597,1.7357,0.034237,0.73901,240.29,2025.1,1601933.333,13500666.67
100,595,1.7511,0.034246,0.72938,243.78,2033.2,1625200,13554666.67
100,596,1.7506,0.034241,0.73281,242.55,2028.5,1617000,13523333.33
100,597,1.7499,0.034237,0.73655,241.26,2021.4,1608400,13476000
105,595,1.765,0.034246,0.72769,242.4,2020.6,1616000,13470666.67
105,596,1.7645,0.034241,0.73103,240.95,2025.6,1606333.333,13504000
105,597,1.7637,0.034237,0.73275,240.48,2006.9,1603200,13379333.33
110,595,1.7779,0.034246,0.72541,242.74,2022.9,1618266.667,13486000
110,596,1.7773,0.034241,0.7289,241.67,2016.1,1611133.333,13440666.67
110,597,1.7766,0.034237,0.7324,240.99,2014.5,1606600,13430000
115,595,1.79,0.034246,0.72199,243.5,2011.5,1623333.333,13410000
115,596,1.7895,0.034241,0.72683,242.83,2010.5,1618866.667,13403333.33
115,597,1.7888,0.034237,0.73079,241.51,2004.1,1610066.667,13360666.67
120,595,1.8014,0.034246,0.72152,244.34,2011.8,1628933.333,13412000
120,596,1.8009,0.034241,0.72524,242.93,2014.9,1619533.333,13432666.67
120,597,1.8002,0.034237,0.72921,241.69,2001.6,1611266.667,13344000
125,595,1.812,0.034246,0.72018,244.41,2010.4,1629400,13402666.67
125,596,1.8114,0.034241,0.724,242.82,2012.3,1618800,13415333.33
125,597,1.8107,0.034237,0.7278,242.31,2001.3,1615400,13342000
130,595,1.8212,0.034246,0.71823,247.31,2003.7,1648733.333,13358000
130,596,1.8207,0.034241,0.72196,246.3,1994.9,1642000,13299333.33
130,597,1.82,0.034237,0.72472,245.25,1988.7,1635000,13258000
135,595,1.8298,0.034246,0.71685,248.61,1999.4,1657400,13329333.33
135,596,1.8292,0.034242,0.72066,247.89,2001,1652600,13340000
135,597,1.8285,0.034237,0.72505,246.08,1992.7,1640533.333,13284666.67
140,595,1.8373,0.034246,0.71588,250.02,1995.8,1666800,13305333.33
140,596,1.8368,0.034242,0.7199,249,1988.9,1660000,13259333.33
140,597,1.8361,0.034237,0.72408,247.73,1980.8,1651533.333,13205333.33
145,595,1.8441,0.034246,0.71544,249.63,1981.3,1664200,13208666.67
145,596,1.8436,0.034242,0.7195,248.23,1987.3,1654866.667,13248666.67
145,597,1.8429,0.034237,0.72392,247.31,1972.6,1648733.333,13150666.67
150,595,1.85,0.034246,0.71516,249.32,1978.1,1662133.333,13187333.33
150,596,1.8494,0.034242,0.71919,248.72,1970.4,1658133.333,13136000
150,597,1.8487,0.034237,0.72375,247.19,1964.3,1647933.333,13095333.33
155,595,1.8547,0.034246,0.71432,250.39,1977.2,1669266.667,13181333.33
155,596,1.8542,0.034242,0.71881,248.73,1974.1,1658200,13160666.67
155,597,1.8535,0.034237,0.72356,247.23,1964.5,1648200,13096666.67
160,595,1.8587,0.034246,0.59471,268.18,2338.7,1787866.667,15591333.33
160,595,1.859,0.034246,0.12013,384.45,9560.8,2563000,63738666.67
160,596,1.8581,0.034242,0.71038,250.43,1988.1,1669533.333,13254000
160,597,1.8574,0.034237,0.72182,247.08,1965.2,1647200,13101333.33
165,595,1.8619,0.034246,0.71377,248.24,1968.7,1654933.333,13124666.67
165,596,1.8613,0.034242,0.71822,247.95,1967.3,1653000,13115333.33
165,597,1.8606,0.034237,0.72258,245.94,1956.4,1639600,13042666.67
170,595,1.864,0.034246,0.71471,248.2,1955.9,1654666.667,13039333.33
170,596,1.8634,0.034242,0.71901,247.44,1959.2,1649600,13061333.33
170,597,1.8627,0.034237,0.72376,246.18,1951.6,1641200,13010666.67
175,595,1.8652,0.034246,0.7133,249.32,1962.7,1662133.333,13084666.67
175,596,1.8646,0.034242,0.71846,248.23,1953.4,1654866.667,13022666.67
175,597,1.8639,0.034237,0.72381,246.51,1948.6,1643400,12990666.67
180,595,1.8654,0.034246,0.081153,426.74,6948.1,2844933.333,46320666.67
180,595,1.8655,0.034246,0.32629,335.17,3417.6,2234466.667,22784000
180,595,1.8655,0.034246,0.30674,340.7,3577.5,2271333.333,23850000
180,596,1.8649,0.034242,0.71846,249.24,1954.4,1661600,13029333.33
180,597,1.8642,0.034237,0.72331,247.91,1950.3,1652733.333,13002000
